"Kod";"Nazwa";"Typy upraw";"Zakres przedmiotowy";"Rodzaje własności";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";33,0;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";25,5;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";28,3;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";32,2;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";20,9;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";22,1;"dt";"";
3000000;"WIELKOPOLSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";33,2;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2013";32,8;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2014";35,9;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2015";33,6;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2016";34,2;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2017";29,9;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2018";21,3;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2019";29,5;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"ogółem";"2020";36,9;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2013";32,7;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2014";36,1;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2015";33,7;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2016";34,0;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2017";29,5;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2018";21,0;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2019";29,5;"dt";"";
3200000;"ZACHODNIOPOMORSKIE";"owies";"plony z 1 ha";"gospodarstwa indywidualne";"2020";37,4;"dt";"";
